<<<<<<< HEAD
FAQ_ID,カテゴリ,質問,回答
1,会社情報,株式会社EcoTeeはどのような会社ですか？,株式会社EcoTeeは、環境に配慮したオリジナルTシャツの製作・販売を行う会社です。お客様のニーズに合わせたデザインから製作、出荷まで一貫してサポートしています。
2,会社情報,会社の設立はいつですか？,詳細な設立年月日については、会社概要資料をご参照ください。
3,会社情報,本社所在地はどこですか？,本社所在地につきましては、会社概要資料に記載されております。お問い合わせいただければ詳細をお知らせいたします。
4,会社情報,営業時間を教えてください,営業時間は平日9:00～18:00となっております。土日祝日は休業日です。
5,会社情報,株主優待制度はありますか？,はい、株主優待制度を実施しております。詳細は株主優待に関する資料をご確認ください。
6,会社情報,環境への取り組みについて教えてください,弊社では環境・エシカルへの取り組みを積極的に行っております。詳細は専用資料をご覧ください。
7,会社情報,採用情報はどこで確認できますか？,採用情報につきましては、弊社ホームページの採用ページをご確認いただくか、直接お問い合わせください。
8,会社情報,問い合わせ先はどこですか？,お問い合わせは本システムまたは公式ホームページのお問い合わせフォームからご連絡ください。
9,サービス内容,EcoTeeとはどのようなサービスですか？,EcoTeeは、オリジナルTシャツの製作から出荷まで一貫してサポートするサービスです。環境に配慮した素材を使用しています。
10,サービス内容,どのような商品がありますか？,Tシャツを中心に、様々なアパレル製品を取り扱っております。詳細は商品情報資料をご確認ください。
11,サービス内容,最小ロット数は何枚からですか？,最小ロット数につきましては、商品によって異なります。お問い合わせいただければ詳細をご案内いたします。
12,サービス内容,サンプル品は作成できますか？,はい、サンプル品の作成も承っております。詳細は担当者にお問い合わせください。
13,サービス内容,環境に配慮した素材とは何ですか？,オーガニックコットンやリサイクル素材など、環境負荷の少ない素材を使用しています。
14,デザイン,デザインの相談はできますか？,はい、デザインに関するご相談も承っております。専門のデザイナーがサポートいたします。
15,デザイン,デザインテンプレートはありますか？,はい、豊富なデザインテンプレートをご用意しております。EcoTee Creatorでご確認いただけます。
16,デザイン,オリジナルデザインを持ち込むことはできますか？,はい、オリジナルデザインのデータをお持ち込みいただけます。データ形式については事前にご確認ください。
17,デザイン,デザインの修正は何回までできますか？,デザイン修正の回数につきましては、ご契約プランによって異なります。詳細はサービス提供に関する資料をご確認ください。
18,デザイン,カラーバリエーションは選べますか？,はい、豊富なカラーバリエーションからお選びいただけます。商品によって選択可能なカラーが異なります。
19,Webサービス,EcoTee Creatorとは何ですか？,EcoTee Creatorは、オンラインでオリジナルTシャツのデザインができるWebサービスです。
20,Webサービス,EcoTee Creatorの利用には登録が必要ですか？,はい、ご利用には会員登録が必要です。登録は無料で行えます。
21,Webサービス,EcoTee Creatorで何ができますか？,デザインの作成、プレビュー、見積もり確認、注文まで一貫して行うことができます。
22,Webサービス,スマートフォンでも利用できますか？,はい、スマートフォンやタブレットからもご利用いただけます。
23,Webサービス,デザインデータは保存できますか？,はい、作成したデザインデータは保存して後から編集することができます。
